URN,town,county,year,att8_score
138273,Saxmundham,SUFFOLK,2022-2023,30.1
147849,Ipswich,SUFFOLK,2022-2023,0.3
137055,Beccles,SUFFOLK,2022-2023,48
124865,Sudbury,SUFFOLK,2022-2023,31.1
140032,Ipswich,SUFFOLK,2022-2023,36.7
136757,Sudbury,SUFFOLK,2022-2023,47.6
145055,Stowmarket,SUFFOLK,2022-2023,43
143362,Stowmarket,SUFFOLK,2022-2023,40
137901,Eye,SUFFOLK,2022-2023,51.8
124870,Leiston,SUFFOLK,2022-2023,12.4
149151,Lowestoft,SUFFOLK,2022-2023,2
140969,Bury St. Edmunds,SUFFOLK,2022-2023,42.5
141639,Sudbury,SUFFOLK,2022-2023,50.3
136782,Woodbridge,SUFFOLK,2022-2023,48.2
124802,Bury St Edmunds,SUFFOLK,2022-2023,45.8
139288,Ipswich,SUFFOLK,2022-2023,40
124887,Woodbridge,SUFFOLK,2022-2023,39.7
138758,Norwich,NORFOLK,2023-2024,44.2
135066,Norwich,NORFOLK,2023-2024,19.5
145089,Wells-next-the-Sea,NORFOLK,2023-2024,42
121250,Norwich,NORFOLK,2023-2024,18.4
140534,Attleborough,NORFOLK,2023-2024,46.2
121229,NA,NORFOLK,2023-2024,3.8
121164,Norwich,NORFOLK,2023-2024,49
146063,Norwich,NORFOLK,2023-2024,51.9
141331,Great Yarmouth,NORFOLK,2023-2024,47.3
135904,Norwich,NORFOLK,2023-2024,32.2
141269,Norwich,NORFOLK,2023-2024,48.6
140364,Great Yarmouth,NORFOLK,2023-2024,34.5
137431,Cromer,NORFOLK,2023-2024,47
144316,Dereham,NORFOLK,2023-2024,42.4
137092,Diss,NORFOLK,2023-2024,44.3
145196,Downham Market,NORFOLK,2023-2024,43.3
148859,Fakenham,NORFOLK,2023-2024,7.5
139572,Fakenham,NORFOLK,2023-2024,38.4
145501,Great Yarmouth,NORFOLK,2023-2024,39.6
145776,Norwich,NORFOLK,2023-2024,51.6
135859,Norwich,NORFOLK,2023-2024,1.2
142883,Great Yarmouth,NORFOLK,2023-2024,41.7
121222,NA,NORFOLK,2023-2024,33.3
149197,Harleston,NORFOLK,2023-2024,47.3
138039,Norwich,NORFOLK,2023-2024,39.5
140188,Norwich,NORFOLK,2023-2024,58.2
142059,Norwich,NORFOLK,2023-2024,46.8
139311,Norwich,NORFOLK,2023-2024,46.1
139058,Thetford,NORFOLK,2023-2024,34.7
134440,Norfolk,NORFOLK,2023-2024,3.6
140815,Norwich,NORFOLK,2023-2024,49
148826,King's Lynn,NORFOLK,2023-2024,39.5
136202,King's Lynn,NORFOLK,2023-2024,38.9
121224,Norfolk,NORFOLK,2023-2024,47.5
146237,King's Lynn,NORFOLK,2023-2024,43.2
144018,Norwich,NORFOLK,2023-2024,50.2
137541,Great Yarmouth,NORFOLK,2023-2024,45.9
142396,Wisbech,NORFOLK,2023-2024,41.8
138918,Swaffham,NORFOLK,2023-2024,35.5
147505,North Walsham,NORFOLK,2023-2024,48.4
141268,Dereham,NORFOLK,2023-2024,38.9
121241,NA,NORFOLK,2023-2024,36.4
121242,Norwich,NORFOLK,2023-2024,13.2
137913,Norwich,NORFOLK,2023-2024,57.5
146144,Attleborough,NORFOLK,2023-2024,44.3
134455,Swaffham,NORFOLK,2023-2024,59
135650,Norwich,NORFOLK,2023-2024,34.9
136187,Gorleston,NORFOLK,2023-2024,47.6
