postcode,postcode_area,avg_download,max_download,county
IP110YL,IP,84.6,200,SUFFOLK
IP110YN,IP,71.3,200,SUFFOLK
IP110YP,IP,62.2,100,SUFFOLK
IP110YQ,IP,59.1,200,SUFFOLK
IP110YR,IP,64.3,200,SUFFOLK
IP110YS,IP,87.8,200,SUFFOLK
IP110YT,IP,59,150,SUFFOLK
IP110YU,IP,31.9,60,SUFFOLK
IP110YW,IP,91.1,200,SUFFOLK
IP110YX,IP,81.3,200,SUFFOLK
IP110YZ,IP,73.7,200,SUFFOLK
IP112AA,IP,27.9,58.3,SUFFOLK
IP112AD,IP,28.9,54.7,SUFFOLK
IP112AF,IP,38.4,80,SUFFOLK
IP112AH,IP,20.6,40,SUFFOLK
IP112AJ,IP,26.4,36.8,SUFFOLK
IP112AN,IP,35.1,67,SUFFOLK
IP112AQ,IP,31,55,SUFFOLK
IP112AR,IP,30.3,67.1,SUFFOLK
IP112AS,IP,30.6,61.6,SUFFOLK
IP112AT,IP,22.9,56.2,SUFFOLK
IP112AU,IP,30.1,80,SUFFOLK
IP112AW,IP,17.7,50.9,SUFFOLK
IP112AX,IP,34.1,77.6,SUFFOLK
IP112AZ,IP,31.1,80,SUFFOLK
IP112BA,IP,43.4,80,SUFFOLK
IP112BB,IP,41.5,72.1,SUFFOLK
IP112BD,IP,45.4,80,SUFFOLK
IP112BE,IP,34.1,80,SUFFOLK
IP112BG,IP,52.1,80,SUFFOLK
IP112BH,IP,38.5,73.5,SUFFOLK
IP112BL,IP,41.6,76,SUFFOLK
IP112BN,IP,18.6,40,SUFFOLK
IP112BP,IP,13,15.4,SUFFOLK
IP112BQ,IP,34.1,80,SUFFOLK
IP112BW,IP,32.2,62.1,SUFFOLK
IP112BX,IP,28.1,41.9,SUFFOLK
IP112BZ,IP,23.7,71.5,SUFFOLK
IP112DA,IP,15.9,40,SUFFOLK
IP112DD,IP,22.4,75.6,SUFFOLK
IP112DE,IP,36.3,71.3,SUFFOLK
IP112DG,IP,35.4,67.4,SUFFOLK
IP112DJ,IP,26.5,49.7,SUFFOLK
IP112DQ,IP,25.6,46.4,SUFFOLK
IP112DR,IP,21.3,79.9,SUFFOLK
IP112DS,IP,21.2,40,SUFFOLK
IP112DT,IP,35.6,80,SUFFOLK
IP112DU,IP,44.8,80,SUFFOLK
IP112DY,IP,23.5,55,SUFFOLK
IP112DZ,IP,25.9,59.8,SUFFOLK
IP112EA,IP,26.7,59.9,SUFFOLK
IP112EB,IP,27.5,40,SUFFOLK
IP112ED,IP,20.8,50.3,SUFFOLK
IP112EE,IP,27.9,64,SUFFOLK
IP112EJ,IP,22.6,40,SUFFOLK
IP112EL,IP,11.9,20.6,SUFFOLK
IP112EN,IP,17.1,34.4,SUFFOLK
IP112EP,IP,23.3,62.7,SUFFOLK
IP112ES,IP,21.7,40,SUFFOLK
IP112ET,IP,19.3,54.2,SUFFOLK
IP112EU,IP,34.8,60.4,SUFFOLK
IP112EW,IP,28.5,39.4,SUFFOLK
IP112EX,IP,23.7,54.9,SUFFOLK
IP112EY,IP,23.7,67.2,SUFFOLK
IP112FA,IP,53.8,200,SUFFOLK
IP112FB,IP,71.5,200,SUFFOLK
IP112FD,IP,84.8,200,SUFFOLK
IP112FE,IP,74.1,200,SUFFOLK
IP112FF,IP,99.8,200,SUFFOLK
IP112FG,IP,64,150,SUFFOLK
IP112FH,IP,50.4,200,SUFFOLK
IP112FJ,IP,70.4,200,SUFFOLK
IP112FL,IP,75.5,300,SUFFOLK
IP112FN,IP,51.2,200,SUFFOLK
IP112FP,IP,47,76,SUFFOLK
IP112FQ,IP,82.8,200,SUFFOLK
IP112FR,IP,70.7,200,SUFFOLK
IP112FW,IP,56.7,200,SUFFOLK
IP112FX,IP,30.8,40,SUFFOLK
IP112FY,IP,39.4,78.7,SUFFOLK
IP112FZ,IP,78.3,200,SUFFOLK
IP112GA,IP,6.9,9.9,SUFFOLK
IP112GB,IP,6.1,9.2,SUFFOLK
IP112GD,IP,6.4,8.3,SUFFOLK
IP112GE,IP,7.8,8.8,SUFFOLK
IP112GF,IP,7,8.9,SUFFOLK
IP112GG,IP,10,34.5,SUFFOLK
IP112GH,IP,6.7,8.3,SUFFOLK
IP112GJ,IP,16.9,62.5,SUFFOLK
IP112HN,IP,18.1,57.3,SUFFOLK
IP112HP,IP,22.1,80,SUFFOLK
IP112HR,IP,34.7,55,SUFFOLK
IP112HS,IP,31.4,77.2,SUFFOLK
IP112HT,IP,25.4,57,SUFFOLK
IP112HW,IP,34.2,65.6,SUFFOLK
IP112HY,IP,30.9,66.9,SUFFOLK
IP112JB,IP,26.1,54,SUFFOLK
IP112JD,IP,38.4,70,SUFFOLK
IP112JE,IP,64,200,SUFFOLK
IP112JF,IP,45.7,106.3,SUFFOLK
IP112JH,IP,73,200,SUFFOLK
IP112JJ,IP,87.9,200,SUFFOLK
IP112JL,IP,46.9,106.3,SUFFOLK
IP112JN,IP,73.2,200,SUFFOLK
IP112JP,IP,72.6,200,SUFFOLK
IP112JQ,IP,74.6,200,SUFFOLK
IP112JR,IP,68.1,106.3,SUFFOLK
IP112JS,IP,76.5,200,SUFFOLK
IP112JT,IP,21,40,SUFFOLK
IP112JU,IP,39.4,80,SUFFOLK
IP112JW,IP,52.3,200,SUFFOLK
IP112JX,IP,39.1,80,SUFFOLK
IP112JY,IP,15.2,40,SUFFOLK
IP112JZ,IP,51.9,100,SUFFOLK
IP112LB,IP,41.4,100,SUFFOLK
IP112LE,IP,30.3,70,SUFFOLK
IP112LF,IP,75.3,200,SUFFOLK
IP112LG,IP,54.2,200,SUFFOLK
IP112LL,IP,53.9,200,SUFFOLK
IP112LN,IP,67.9,200,SUFFOLK
IP112LQ,IP,4.6,16.6,SUFFOLK
IP112LR,IP,77.2,200,SUFFOLK
IP112LS,IP,55.8,200,SUFFOLK
IP112LT,IP,81.5,200,SUFFOLK
IP112LU,IP,53.6,200,SUFFOLK
IP112LW,IP,72.6,100,SUFFOLK
IP112LX,IP,79.8,200,SUFFOLK
IP112LY,IP,81.2,200,SUFFOLK
IP112LZ,IP,87.6,300,SUFFOLK
IP112NA,IP,43.6,106.3,SUFFOLK
IP112NB,IP,24.6,70.6,SUFFOLK
IP112ND,IP,21.6,40.6,SUFFOLK
IP112NE,IP,74.2,200,SUFFOLK
IP112NF,IP,56.3,200,SUFFOLK
IP112NG,IP,73,300,SUFFOLK
IP112NH,IP,25.9,55,SUFFOLK
IP112NJ,IP,30.5,47.7,SUFFOLK
IP112NL,IP,32.9,106.3,SUFFOLK
IP112NN,IP,30.4,50,SUFFOLK
IP112NP,IP,70.5,200,SUFFOLK
IP112NQ,IP,26.9,55.5,SUFFOLK
IP112NR,IP,56.3,300,SUFFOLK
IP112NS,IP,63.8,200,SUFFOLK
IP112NT,IP,65.3,200,SUFFOLK
IP112NU,IP,72.4,200,SUFFOLK
IP112NW,IP,45.9,200,SUFFOLK
IP112NX,IP,65.1,200,SUFFOLK
IP112NY,IP,58.2,200,SUFFOLK
IP112NZ,IP,79.6,200,SUFFOLK
IP112PA,IP,84.3,200,SUFFOLK
IP112PB,IP,36.6,200,SUFFOLK
IP112PE,IP,58.7,200,SUFFOLK
IP112PF,IP,51.2,200,SUFFOLK
IP112PG,IP,64.4,200,SUFFOLK
IP112PH,IP,30.2,70,SUFFOLK
IP112PJ,IP,104.5,200,SUFFOLK
IP112PL,IP,41.4,200,SUFFOLK
IP112PP,IP,54,200,SUFFOLK
IP112PQ,IP,54.4,200,SUFFOLK
IP112PR,IP,32.7,43.5,SUFFOLK
IP112PU,IP,49.4,150,SUFFOLK
IP112PW,IP,90.9,200,SUFFOLK
IP112PX,IP,71.7,200,SUFFOLK
IP112PY,IP,67.5,200,SUFFOLK
IP112PZ,IP,73.8,150,SUFFOLK
IP112QA,IP,73.1,200,SUFFOLK
IP112QB,IP,70.8,200,SUFFOLK
IP112QD,IP,103.6,200,SUFFOLK
IP112QF,IP,78.3,200,SUFFOLK
IP112QJ,IP,56,200,SUFFOLK
IP112QQ,IP,81.4,200,SUFFOLK
IP112QR,IP,47.9,73.9,SUFFOLK
IP112QX,IP,5.4,8.1,SUFFOLK
IP112QY,IP,27.3,45.5,SUFFOLK
IP112RA,IP,35.3,49.2,SUFFOLK
IP112TP,IP,45.2,79.9,SUFFOLK
IP112TZ,IP,39.5,73,SUFFOLK
IP112UA,IP,68.9,200,SUFFOLK
IP112UB,IP,96.7,200,SUFFOLK
IP112UD,IP,69.9,200,SUFFOLK
IP112UE,IP,86.4,200,SUFFOLK
IP112UF,IP,72.3,200,SUFFOLK
IP112UG,IP,86.2,200,SUFFOLK
IP112UH,IP,75.1,200,SUFFOLK
IP112UJ,IP,72.4,200,SUFFOLK
IP112UL,IP,82,200,SUFFOLK
IP112UP,IP,70.9,200,SUFFOLK
IP112UQ,IP,89.2,200,SUFFOLK
IP112UR,IP,43.6,106.3,SUFFOLK
IP112XD,IP,7.3,19.5,SUFFOLK
IP112XJ,IP,81,150,SUFFOLK
IP112XL,IP,72.5,200,SUFFOLK
IP112XN,IP,25.3,55,SUFFOLK
IP112XP,IP,63.6,200,SUFFOLK
IP112XS,IP,91.1,200,SUFFOLK
IP112XT,IP,51.1,100,SUFFOLK
IP112XU,IP,51.1,200,SUFFOLK
IP112XW,IP,92,200,SUFFOLK
IP112XX,IP,62.1,200,SUFFOLK
IP112XY,IP,20.3,28.9,SUFFOLK
IP112XZ,IP,51.9,200,SUFFOLK
IP112YB,IP,82.5,200,SUFFOLK
IP112YD,IP,56.8,200,SUFFOLK
IP112YE,IP,80.4,200,SUFFOLK
IP112YF,IP,87.7,200,SUFFOLK
IP112YG,IP,78,200,SUFFOLK
IP112YH,IP,61.4,200,SUFFOLK
IP112YJ,IP,52.5,200,SUFFOLK
IP112YL,IP,66.2,200,SUFFOLK
IP112YN,IP,65.5,150,SUFFOLK
IP112YP,IP,63.9,200,SUFFOLK
IP112YQ,IP,50.1,80,SUFFOLK
IP112YR,IP,51.1,200,SUFFOLK
IP112YS,IP,78.5,200,SUFFOLK
IP112YT,IP,53.9,106.3,SUFFOLK
IP112YW,IP,95.8,200,SUFFOLK
IP112YY,IP,69.9,200,SUFFOLK
IP112YZ,IP,47.9,100,SUFFOLK
IP113HG,IP,43.7,80,SUFFOLK
IP113HH,IP,17.9,40,SUFFOLK
IP113JB,IP,20.6,72.1,SUFFOLK
IP113QQ,IP,7.4,7.4,SUFFOLK
IP113QT,IP,7.4,7.4,SUFFOLK
IP113SS,IP,57.3,80,SUFFOLK
IP113TW,IP,7.4,7.4,SUFFOLK
IP114HF,IP,6.5,8.1,SUFFOLK
IP117AB,IP,38.6,80,SUFFOLK
IP117AD,IP,34.1,66.8,SUFFOLK
IP117AE,IP,37.8,58.3,SUFFOLK
IP117AF,IP,45.1,80,SUFFOLK
IP117AJ,IP,17.1,24.4,SUFFOLK
IP117AN,IP,39.8,80,SUFFOLK
IP117AP,IP,41.3,65.7,SUFFOLK
IP117AQ,IP,28.1,80,SUFFOLK
IP117AS,IP,39.3,80,SUFFOLK
IP117AU,IP,13.2,18.8,SUFFOLK
IP117AX,IP,29.8,76.5,SUFFOLK
IP117BB,IP,9.6,17.6,SUFFOLK
IP117BE,IP,27.4,79.7,SUFFOLK
IP117BL,IP,38.5,80,SUFFOLK
IP117BP,IP,31.4,74.2,SUFFOLK
IP117BQ,IP,16.3,19.7,SUFFOLK
IP117BT,IP,38.3,80,SUFFOLK
IP117BU,IP,33.8,76.1,SUFFOLK
IP117BW,IP,37.5,79.7,SUFFOLK
IP117BX,IP,53.7,79.7,SUFFOLK
IP117BY,IP,28.4,40,SUFFOLK
IP117BZ,IP,29.4,80,SUFFOLK
IP117DB,IP,80,80,SUFFOLK
IP117DD,IP,45.6,80,SUFFOLK
IP117DE,IP,32.1,80,SUFFOLK
IP117DF,IP,27.6,80,SUFFOLK
IP117DG,IP,28.9,80,SUFFOLK
IP117DJ,IP,26.5,80,SUFFOLK
IP117DN,IP,35.5,68.2,SUFFOLK
IP117DQ,IP,25.3,40.5,SUFFOLK
IP117DR,IP,37.9,80,SUFFOLK
IP117DS,IP,25.7,80,SUFFOLK
IP117DT,IP,30.5,80,SUFFOLK
IP117DU,IP,37.1,80,SUFFOLK
IP117DY,IP,11.7,19.7,SUFFOLK
IP117EB,IP,28,56.8,SUFFOLK
IP117ED,IP,36.4,62.6,SUFFOLK
IP117EE,IP,31.6,62.3,SUFFOLK
IP117EF,IP,41.4,78,SUFFOLK
IP117EG,IP,37.7,79.8,SUFFOLK
IP117EH,IP,39.3,80,SUFFOLK
